Title,Description
Primary Name,Viticulture
Alternate Names,"ワイナリーの四季
葡萄酒莊園"
Year Released,2013
Designers,"Jamey Stegmaier
Alan Stone"
Solo Designer,N/A
Artists,"Jacqui Davis
David Montgomery
Beth Sobel"
Publishers,"Stonemaier Games
One Moment Games
Regatul Jocurilor"
Developer,N/A
Graphic Designer,Christine Santana
Sculptor,N/A
Editor,N/A
Writer,N/A
Insert Designer,N/A
Categories,"Economic
Farming"
Mechanisms,"Contracts
Hand Management
Income
Race
Turn Order: Progressive
Worker Placement"
Family,"Country: Italy
Crowdfunding: Kickstarter
Digital Implementations: Google Play
Digital Implementations: TableTop Simulator Mod (TTS)
Food & Drink: Wine
Game: Viticulture"
